NumberOfFlows,Deadline,DCT,RealFlow
180,1.700ms,1,0.791422
180,1.800ms,1,0.8068
180,1.900ms,1,0.823911
180,2.000ms,1,0.839911
180,2.100ms,1,0.857733
180,2.200ms,1,0.8728
180,2.300ms,1,0.890667
180,2.400ms,1,0.901911
180,2.500ms,1,0.909333
180,2.600ms,1,0.920311
180,2.700ms,1,0.927644
180,2.800ms,1,0.934844
180,2.900ms,1,0.943467
180,3.000ms,1,0.948711
190,100.000us,0.394695,0.111663
190,200.000us,0.548337,0.224379
190,300.000us,0.664674,0.303579
190,400.000us,0.728337,0.375032
190,500.000us,0.789979,0.434947
190,600.000us,0.844632,0.482568
190,700.000us,0.890484,0.521053
190,800.000us,0.920968,0.556463
190,900.000us,0.943116,0.586695
190,1.000ms,0.964421,0.6184
190,1.100ms,0.981053,0.640168
190,1.200ms,0.9888,0.669011
190,1.300ms,0.994568,0.692632
190,1.400ms,0.997432,0.7144
190,1.500ms,0.999326,0.733305
190,1.600ms,0.999874,0.752968
190,1.700ms,1,0.769895
190,1.800ms,1,0.786737
190,1.900ms,1,0.810316
190,2.000ms,1,0.821895
190,2.100ms,1,0.843032
190,2.200ms,1,0.855747
190,2.300ms,1,0.874442
190,2.400ms,1,0.885263
190,2.500ms,1,0.896337
190,2.600ms,1,0.904084
190,2.700ms,1,0.914442
190,2.800ms,1,0.924379
190,2.900ms,1,0.928547
190,3.000ms,1,0.939789
200,100.000us,0.38952,0.1048
200,200.000us,0.5416,0.2176
200,300.000us,0.64552,0.29272
200,400.000us,0.71236,0.36624
200,500.000us,0.77828,0.42412
200,600.000us,0.83624,0.47016
200,700.000us,0.87984,0.512
200,800.000us,0.90824,0.54416
200,900.000us,0.9348,0.57612
200,1.000ms,0.95212,0.60508
200,1.100ms,0.97172,0.63136
200,1.200ms,0.98544,0.65344
200,1.300ms,0.99232,0.6774
200,1.400ms,0.99608,0.69524
200,1.500ms,0.99844,0.71572
200,1.600ms,0.99936,0.73732
200,1.700ms,1,0.75524
200,1.800ms,1,0.77928
200,1.900ms,1,0.79168
200,2.000ms,1,0.80428
200,2.100ms,1,0.8248
200,2.200ms,1,0.84044
200,2.300ms,1,0.855
200,2.400ms,1,0.8694
200,2.500ms,1,0.8822
200,2.600ms,1,0.897
200,2.700ms,1,0.90116
200,2.800ms,1,0.91292
200,2.900ms,1,0.92232
200,3.000ms,1,0.92704
